fpr,tpr
2.279032897344431124e-05,5.432159767680690490e-03
2.279032897344431124e-05,5.638391310219348883e-03
2.378121284185493465e-05,5.638391310219348883e-03
2.378121284185493465e-05,6.457036316641838816e-03
2.477209671026555805e-05,6.457036316641838816e-03
2.477209671026555805e-05,6.651752392338236911e-03
2.576298057867617807e-05,6.651752392338236911e-03
2.576298057867617807e-05,7.118652229760782067e-03
2.675386444708680148e-05,7.118652229760782067e-03
2.675386444708680148e-05,7.240088061915524349e-03
2.774474831549742488e-05,7.240088061915524349e-03
2.774474831549742488e-05,7.258931553111950055e-03
2.873563218390804490e-05,7.258931553111950055e-03
2.873563218390804490e-05,7.339539821007771275e-03
2.972651605231866831e-05,7.339539821007771275e-03
2.972651605231866831e-05,7.565661715364878012e-03
3.071739992072928833e-05,7.565661715364878012e-03
3.071739992072928833e-05,7.832611173980907546e-03
3.170828378913991512e-05,7.832611173980907546e-03
3.170828378913991512e-05,8.057686207715991644e-03
3.269916765755053514e-05,8.057686207715991644e-03
3.269916765755053514e-05,8.058733068338014283e-03
3.369005152596115516e-05,8.058733068338014283e-03
3.369005152596115516e-05,8.843878534855747695e-03
3.468093539437178195e-05,8.843878534855747695e-03
3.468093539437178195e-05,9.071047289834878805e-03
3.567181926278240197e-05,9.071047289834878805e-03
3.567181926278240197e-05,9.585055855248488660e-03
3.666270313119302199e-05,9.585055855248488660e-03
3.666270313119302199e-05,1.058899519176916340e-02
3.765358699960364878e-05,1.058899519176916340e-02
3.765358699960364878e-05,1.059527635550130444e-02
3.864447086801426880e-05,1.059527635550130444e-02
3.864447086801426880e-05,1.066960345966498289e-02
3.963535473642488882e-05,1.066960345966498289e-02
3.963535473642488882e-05,1.075753975191496951e-02
4.062623860483551561e-05,1.075753975191496951e-02
4.062623860483551561e-05,1.125479854737620154e-02
4.161712247324613563e-05,1.125479854737620154e-02
4.161712247324613563e-05,1.189861782992074173e-02
4.260800634165675565e-05,1.189861782992074173e-02
4.260800634165675565e-05,1.226711276887306433e-02
4.359889021006738244e-05,1.226711276887306433e-02
4.359889021006738244e-05,1.230794033313198713e-02
4.458977407847800246e-05,1.230794033313198713e-02
4.458977407847800246e-05,1.231317463624210552e-02
4.558065794688862248e-05,1.231317463624210552e-02
4.558065794688862248e-05,1.239168918289387800e-02
4.657154181529924927e-05,1.239168918289387800e-02
4.657154181529924927e-05,1.241576697720042297e-02
4.756242568370986929e-05,1.241576697720042297e-02
4.756242568370986929e-05,1.256442118552777987e-02
4.855330955212048931e-05,1.256442118552777987e-02
4.855330955212048931e-05,1.265445119902181351e-02
4.954419342053111610e-05,1.265445119902181351e-02
4.954419342053111610e-05,1.321033418931636880e-02
5.053507728894173612e-05,1.321033418931636880e-02
5.053507728894173612e-05,1.340714398625681390e-02
5.152596115735235614e-05,1.340714398625681390e-02
5.152596115735235614e-05,1.366048425678653526e-02
5.251684502576298293e-05,1.366048425678653526e-02
5.251684502576298293e-05,1.451367566373580609e-02
5.350772889417360295e-05,1.451367566373580609e-02
5.350772889417360295e-05,1.475235988555719663e-02
5.449861276258422297e-05,1.475235988555719663e-02
5.449861276258422297e-05,1.482982757158694646e-02
5.548949663099484976e-05,1.482982757158694646e-02
5.548949663099484976e-05,1.491252956072681470e-02
5.648038049940546978e-05,1.491252956072681470e-02
5.648038049940546978e-05,1.525485298412854532e-02
5.747126436781608980e-05,1.525485298412854532e-02
5.747126436781608980e-05,1.562439478370289229e-02
5.846214823622671660e-05,1.562439478370289229e-02
5.846214823622671660e-05,1.574792433710168332e-02
5.945303210463733661e-05,1.574792433710168332e-02
5.945303210463733661e-05,1.576048666456596539e-02
6.044391597304795663e-05,1.576048666456596539e-02
6.044391597304795663e-05,1.587040702987844998e-02
6.143479984145857665e-05,1.587040702987844998e-02
6.143479984145857665e-05,1.604627961437841976e-02
6.242568370986919667e-05,1.604627961437841976e-02
6.242568370986919667e-05,1.627658895122362226e-02
6.341656757827983024e-05,1.627658895122362226e-02
6.341656757827983024e-05,1.638127501342598671e-02
6.440745144669045026e-05,1.638127501342598671e-02
6.440745144669045026e-05,1.671208296998545964e-02
6.539833531510107028e-05,1.671208296998545964e-02
6.539833531510107028e-05,1.673302018242593323e-02
6.638921918351169029e-05,1.673302018242593323e-02
6.638921918351169029e-05,1.734752736755381178e-02
6.738010305192231031e-05,1.734752736755381178e-02
6.738010305192231031e-05,1.749199413339307466e-02
6.837098692033293033e-05,1.749199413339307466e-02
6.837098692033293033e-05,1.885605352388988395e-02
6.936187078874356390e-05,1.885605352388988395e-02
6.936187078874356390e-05,1.922559532346422920e-02
7.035275465715418392e-05,1.922559532346422920e-02
7.035275465715418392e-05,1.950615397016656691e-02
7.134363852556480394e-05,1.950615397016656691e-02
7.134363852556480394e-05,1.962235549921119079e-02
7.233452239397542395e-05,1.962235549921119079e-02
7.233452239397542395e-05,2.041273526883904260e-02
7.332540626238604397e-05,2.041273526883904260e-02
7.332540626238604397e-05,2.101677384774668436e-02
7.431629013079666399e-05,2.101677384774668436e-02
7.431629013079666399e-05,2.125336434832402963e-02
7.530717399920729756e-05,2.125336434832402963e-02
7.530717399920729756e-05,2.178621640493406258e-02
7.629805786761791758e-05,2.178621640493406258e-02
7.629805786761791758e-05,2.202385376613343049e-02
7.728894173602853760e-05,2.202385376613343049e-02
7.728894173602853760e-05,2.203746295421973866e-02
7.827982560443915762e-05,2.203746295421973866e-02
7.827982560443915762e-05,2.227091287293101254e-02
7.927070947284977763e-05,2.227091287293101254e-02
7.927070947284977763e-05,2.269907886733868105e-02
8.026159334126039765e-05,2.269907886733868105e-02
8.026159334126039765e-05,2.270954747355891784e-02
8.125247720967103122e-05,2.270954747355891784e-02
8.125247720967103122e-05,2.289588866427912789e-02
8.224336107808165124e-05,2.289588866427912789e-02
8.224336107808165124e-05,2.325391499701121370e-02
8.422512881490289128e-05,2.325391499701121370e-02
8.422512881490289128e-05,2.363078482093972435e-02
8.521601268331351130e-05,2.363078482093972435e-02
8.521601268331351130e-05,2.377943902926708125e-02
8.620689655172413131e-05,2.377943902926708125e-02
8.620689655172413131e-05,2.428926015219259882e-02
8.719778042013476488e-05,2.428926015219259882e-02
8.719778042013476488e-05,2.449967913721935037e-02
8.818866428854538490e-05,2.449967913721935037e-02
8.818866428854538490e-05,2.467973916420741765e-02
8.917954815695600492e-05,2.467973916420741765e-02
8.917954815695600492e-05,2.469962951602586512e-02
9.017043202536662494e-05,2.469962951602586512e-02
9.017043202536662494e-05,2.511523318296925156e-02
9.116131589377724496e-05,2.511523318296925156e-02
