fpr,tpr
2.080856123662306781e-05,4.765309551451629710e-03
2.080856123662306781e-05,4.905588874802797698e-03
2.179944510503369122e-05,4.905588874802797698e-03
2.179944510503369122e-05,4.966306790880168839e-03
2.279032897344431124e-05,4.966306790880168839e-03
2.279032897344431124e-05,5.087742623034911989e-03
2.378121284185493465e-05,5.087742623034911989e-03
2.378121284185493465e-05,5.214412758299772667e-03
2.477209671026555805e-05,5.214412758299772667e-03
2.477209671026555805e-05,6.671642744156686122e-03
2.576298057867617807e-05,6.671642744156686122e-03
2.576298057867617807e-05,6.927076735930455358e-03
2.675386444708680148e-05,6.927076735930455358e-03
2.675386444708680148e-05,7.024434773778653537e-03
2.774474831549742488e-05,7.024434773778653537e-03
2.774474831549742488e-05,7.076777804879835765e-03
2.873563218390804490e-05,7.076777804879835765e-03
2.873563218390804490e-05,7.242181783159572228e-03
2.972651605231866831e-05,7.242181783159572228e-03
2.972651605231866831e-05,7.492381471823223067e-03
3.071739992072928833e-05,7.492381471823223067e-03
3.071739992072928833e-05,7.495522053689293585e-03
3.170828378913991512e-05,7.495522053689293585e-03
3.170828378913991512e-05,7.512271823641672279e-03
3.269916765755053514e-05,7.512271823641672279e-03
3.269916765755053514e-05,7.675582080677360863e-03
3.369005152596115516e-05,7.675582080677360863e-03
3.369005152596115516e-05,7.741534299864850401e-03
3.468093539437178195e-05,7.741534299864850401e-03
3.468093539437178195e-05,7.831564313358883173e-03
3.567181926278240197e-05,7.831564313358883173e-03
3.567181926278240197e-05,7.842032919579119965e-03
3.666270313119302199e-05,7.842032919579119965e-03
3.666270313119302199e-05,8.258683447144530773e-03
3.765358699960364878e-05,8.258683447144530773e-03
3.765358699960364878e-05,8.707786653992674597e-03
3.765358699960364878e-05,8.709880375236721609e-03
3.765358699960364878e-05,9.587149576492535671e-03
3.765358699960364878e-05,9.589243297736582683e-03
3.765358699960364878e-05,9.763022160992507192e-03
3.864447086801426880e-05,9.763022160992507192e-03
3.864447086801426880e-05,9.828974380179997597e-03
3.963535473642488882e-05,9.828974380179997597e-03
3.963535473642488882e-05,1.002264359525437132e-02
4.062623860483551561e-05,1.002264359525437132e-02
4.062623860483551561e-05,1.017443838544779960e-02
4.161712247324613563e-05,1.017443838544779960e-02
4.161712247324613563e-05,1.031785829066503984e-02
4.260800634165675565e-05,1.031785829066503984e-02
4.260800634165675565e-05,1.037857620674241012e-02
4.260800634165675565e-05,1.038066992798645713e-02
4.260800634165675565e-05,1.039532597669478968e-02
4.359889021006738244e-05,1.039532597669478968e-02
4.359889021006738244e-05,1.081092964363817611e-02
4.458977407847800246e-05,1.081092964363817611e-02
4.458977407847800246e-05,1.117733086134645171e-02
4.558065794688862248e-05,1.117733086134645171e-02
4.558065794688862248e-05,1.162329348632852415e-02
4.657154181529924927e-05,1.162329348632852415e-02
4.657154181529924927e-05,1.168715198427196580e-02
4.756242568370986929e-05,1.168715198427196580e-02
4.756242568370986929e-05,1.316531918256935198e-02
4.855330955212048931e-05,1.316531918256935198e-02
4.855330955212048931e-05,1.324592745046517320e-02
4.954419342053111610e-05,1.324592745046517320e-02
4.954419342053111610e-05,1.355056389147405241e-02
5.053507728894173612e-05,1.355056389147405241e-02
5.053507728894173612e-05,1.392010569104839939e-02
5.152596115735235614e-05,1.392010569104839939e-02
5.152596115735235614e-05,1.401641686827457406e-02
5.251684502576298293e-05,1.401641686827457406e-02
5.251684502576298293e-05,1.411482176674479748e-02
5.350772889417360295e-05,1.411482176674479748e-02
5.350772889417360295e-05,1.424253876263168253e-02
